name,base_candidate,strategy,class_weight,negative_multiplier,negative_threshold,complexity_rank,cv_folds,cv_fit_seconds,oof_accuracy,oof_balanced_accuracy,oof_macro_f1,oof_positive_precision,oof_positive_recall,oof_positive_f1_score,oof_average_precision,oof_average_recall,oof_average_f1_score,oof_negative_precision,oof_negative_recall,oof_negative_f1_score,oof_confusion_matrix,cv_accuracy_mean,cv_accuracy_std,cv_balanced_accuracy_mean,cv_balanced_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_positive_precision_mean,cv_positive_precision_std,cv_positive_recall_mean,cv_positive_recall_std,cv_positive_f1_score_mean,cv_positive_f1_score_std,cv_average_precision_mean,cv_average_precision_std,cv_average_recall_mean,cv_average_recall_std,cv_average_f1_score_mean,cv_average_f1_score_std,cv_negative_precision_mean,cv_negative_precision_std,cv_negative_recall_mean,cv_negative_recall_std,cv_negative_f1_score_mean,cv_negative_f1_score_std,oof_dutch_macro_f1,oof_dutch_negative_precision,oof_dutch_negative_recall,oof_dutch_negative_f1_score,oof_english_macro_f1,oof_english_negative_precision,oof_english_negative_recall,oof_english_negative_f1_score
random_oversample_negative_x3__0.30,random_oversample_negative_x3,random_oversampling,none,3,0.30,7,5,88.05858821887523,0.6670140698280355,0.5959012723117781,0.6361095685836909,0.6714761376248612,0.6725958866036688,0.672035545681755,0.651199165797706,0.6942745969983324,0.6720473500134517,0.8559322033898306,0.42083333333333334,0.5642458100558659,"[[1210, 581, 8], [541, 1249, 9], [51, 88, 101]]",0.6670153601694915,0.012524220074038599,0.5959003920354896,0.026623913434606877,0.6351169658881387,0.028546210031450244,0.6714348139227965,0.009609471516969332,0.6726044568245125,0.026564007330419772,0.671807527928953,0.016268632915733227,0.651640329827347,0.01485677425357325,0.6942633859486228,0.016227912125353947,0.6720474577577127,0.00920529226043048,0.855152094282529,0.05674387987605836,0.4208333333333333,0.06770032003863301,0.5614959119777504,0.06899362799547375,0.6407825218499523,0.8559322033898306,0.4353448275862069,0.5771428571428572,0.29377971770988015,0.0,0.0,0.0
negative_weight_3__0.35,negative_weight_3,class_weight,"{""Average"": 1, ""Negative"": 3, ""Positive"": 1}",1,0.35,2,5,81.88917525112629,0.6638874413757165,0.5792346056451114,0.6196547661933215,0.6703662597114317,0.6714841578654808,0.6709247431269092,0.6475155279503105,0.6953863257365203,0.6705976949879389,0.8557692307692307,0.37083333333333335,0.5174418604651163,"[[1208, 583, 8], [541, 1251, 7], [53, 98, 89]]",0.6638879834854412,0.012929134236171192,0.5792337253688229,0.028626692193851968,0.6183034754520019,0.03143675151994664,0.6703247217494747,0.0088041211099374,0.6714933457134015,0.024689720845546076,0.6707281384714692,0.015102542175121605,0.6479737524442261,0.016346541087533965,0.6953744970597339,0.014808883810628759,0.6706293934341554,0.010241926648293619,0.8611228192097757,0.06940318125286385,0.3708333333333333,0.07144345083117602,0.5135528944503814,0.07571676141816559,0.624056458339111,0.8557692307692307,0.38362068965517243,0.5297619047619048,0.29377971770988015,0.0,0.0,0.0
random_oversample_negative_x2__0.25,random_oversample_negative_x2,random_oversampling,none,2,0.25,6,5,83.88137745810673,0.6670140698280355,0.5971048730776357,0.636855769753797,0.6716666666666666,0.6720400222345748,0.6718532925812726,0.651199165797706,0.6942745969983324,0.6720473500134517,0.85,0.425,0.5666666666666667,"[[1209, 582, 8], [540, 1249, 10], [51, 87, 102]]",0.6670156996957843,0.011016995098574282,0.597105127411534,0.028314526284910362,0.6353932294505997,0.028758350260371893,0.6716600647338068,0.008307857836859039,0.6720519962859797,0.024380364274616376,0.6716600832324681,0.014371206483661024,0.6516237595491001,0.01441130113261806,0.6942633859486228,0.016417002511249806,0.6720383641380898,0.008946845497130467,0.8520434227330778,0.04435087716170688,0.425,0.07750448015724282,0.562481240981241,0.07391986762759993,0.6415246810181477,0.85,0.4396551724137931,0.5795454545454546,0.29377971770988015,0.0,0.0,0.0
negative_weight_5__argmax,negative_weight_5,class_weight,"{""Average"": 1, ""Negative"": 5, ""Positive"": 1}",1,argmax,2,5,82.43439701921307,0.667274622199062,0.6009009634982397,0.6392246748483127,0.6718576195773082,0.6714841578654808,0.6716708368084515,0.6520376175548589,0.6937187326292384,0.6722326959332077,0.8333333333333334,0.4375,0.5737704918032787,"[[1208, 582, 9], [539, 1248, 12], [51, 84, 105]]",0.667276455888744,0.010377125527177167,0.6009003920354895,0.02714906283419493,0.6377512290437071,0.026112713506417386,0.6718972440924993,0.008964142253376495,0.6714948932219127,0.024419940753986673,0.6714798050653605,0.014227908065669264,0.6523901925798081,0.013003063681735778,0.6937062828845559,0.01581207182211365,0.6722139375058162,0.008418065127520408,0.8375995056142116,0.050782462781945946,0.4375,0.08014743359029727,0.5695599445599446,0.070590443244092,0.6438794416189003,0.8333333333333334,0.4525862068965517,0.5865921787709497,0.29377971770988015,0.0,0.0,0.0
negative_weight_3__0.30,negative_weight_3,class_weight,"{""Average"": 1, ""Negative"": 3, ""Positive"": 1}",1,0.30,2,5,81.88917525112629,0.6677957269411151,0.6084931443394478,0.6442016008388894,0.6727982162764772,0.6709282934963868,0.6718619537990537,0.6528578919769271,0.6920511395219566,0.6718834322719913,0.8102189781021898,0.4625,0.5888594164456233,"[[1207, 581, 11], [539, 1245, 15], [48, 81, 111]]",0.6677972892220773,0.010332843395020112,0.6084929846280822,0.026010844161967184,0.642955806275953,0.024069053021356496,0.6727823759412225,0.008329190926779423,0.6709377901578458,0.024001175039166267,0.6716742765592996,0.014357985438584797,0.6532754965837808,0.013905920437599988,0.6920411637264006,0.012965183495727754,0.6719045204426243,0.007118461442041815,0.8127726142245197,0.03387080636215763,0.4625,0.07383352144445562,0.5852886218259352,0.062196477668243905,0.648809086547176,0.8102189781021898,0.47844827586206895,0.6016260162601627,0.29377971770988015,0.0,0.0,0.0
negative_weight_7__0.40,negative_weight_7,class_weight,"{""Average"": 1, ""Negative"": 7, ""Positive"": 1}",1,0.40,4,5,83.87968079000711,0.6675351745700886,0.6083078562164165,0.6435591413272556,0.6720489977728286,0.6709282934963868,0.6714881780250348,0.6533613445378151,0.6914952751528627,0.6718876586551444,0.8043478260869565,0.4625,0.5873015873015873,"[[1207, 580, 12], [540, 1244, 15], [49, 80, 111]]",0.6675365330291178,0.010957242772071964,0.6083067677705561,0.024268027476386532,0.642574714980382,0.022793115801878254,0.6720745428863169,0.00994543276834688,0.6709377901578459,0.025858248120344315,0.6712754774347739,0.015507113200580997,0.6537759769886655,0.013641227902064424,0.6914825131538224,0.015683576493379453,0.6718772389349437,0.007964366470472453,0.8074550098688029,0.04699770872192801,0.4625,0.067700320038633,0.5845714285714285,0.05729567392467394,0.6481271837303401,0.8043478260869565,0.47844827586206895,0.6,0.29377971770988015,0.0,0.0,0.0
negative_weight_5__0.35,negative_weight_5,class_weight,"{""Average"": 1, ""Negative"": 5, ""Positive"": 1}",1,0.35,3,5,82.43439701921307,0.6677957269411151,0.6133075474028781,0.6463482151798482,0.6726256983240223,0.669260700389105,0.6709389802173308,0.6540483701366983,0.6914952751528627,0.6722507430424209,0.7876712328767124,0.4791666666666667,0.5958549222797928,"[[1204, 580, 15], [539, 1244, 16], [47, 78, 115]]",0.6677969496957845,0.009161201241564993,0.6133067677705561,0.02488912759806935,0.6451678768210504,0.02140021080334522,0.6726865079921787,0.008867857909011265,0.6692695759826679,0.024033865700780324,0.6707508433595031,0.013801447297292577,0.6544315861493756,0.013079370372503809,0.6914840606623337,0.01473469604824279,0.6722440197569675,0.007387084212565776,0.7912650221378874,0.03954922531730289,0.4791666666666667,0.07336173692357921,0.5925087673466803,0.058434913244292355,0.6509128924353192,0.7876712328767124,0.4956896551724138,0.6084656084656085,0.29377971770988015,0.0,0.0,0.0
balanced__0.40,balanced,class_weight,balanced,1,0.40,1,5,80.84353260020725,0.670922355393434,0.6167346056451115,0.64873333850219,0.6742508324084351,0.6753752084491385,0.6748125520688698,0.6592474827768945,0.6914952751528627,0.6749864351600651,0.7785234899328859,0.48333333333333334,0.596401028277635,"[[1215, 569, 15], [537, 1244, 18], [50, 74, 116]]",0.6709219496957844,0.009056346896932396,0.616732693696482,0.024408798986585604,0.6474790691358728,0.020641648371783495,0.6743381417665668,0.009371559121779609,0.6753822346022904,0.02587609596902835,0.6745936640108269,0.01452079580653647,0.6596652757988002,0.012981913169426573,0.6914825131538224,0.016638472560741524,0.6749550664119289,0.007264828309265899,0.7833333333333334,0.04283771054158292,0.4833333333333334,0.075,0.5928884769848625,0.057761986037229075,0.6529622352205537,0.7785234899328859,0.5,0.6089238845144357,0.28278167522011394,0.0,0.0,0.0
negative_weight_7__argmax,negative_weight_7,class_weight,"{""Average"": 1, ""Negative"": 7, ""Positive"": 1}",1,argmax,3,5,83.87968079000711,0.6683168316831684,0.6172889259465135,0.6486084011307226,0.6750700280112045,0.669816564758199,0.6724330357142857,0.6533403471856918,0.6903835464146748,0.6713513513513514,0.7763157894736842,0.49166666666666664,0.6020408163265306,"[[1205, 580, 14], [537, 1242, 20], [43, 79, 118]]",0.6683181225554107,0.011449876412225663,0.6172882492520376,0.02789890677576129,0.6474106848760195,0.02541018032374414,0.6752485735860215,0.011820949112948244,0.6698266790467347,0.023525497303235762,0.6722768185100506,0.01379613031180509,0.6537114942362318,0.014076522431435548,0.6903714020427112,0.015027050781021158,0.6713517558999569,0.0091485267168456,0.7775833969951617,0.0392314163551509,0.4916666666666667,0.0775044801572428,0.5986034802180514,0.06424199367936524,0.6531188269463842,0.7763157894736842,0.5086206896551724,0.6145833333333334,0.29377971770988015,0.0,0.0,0.0
random_oversample_negative_x3__0.25,random_oversample_negative_x3,random_oversampling,none,3,0.25,7,5,88.05858821887523,0.6667535174570088,0.6197879995058982,0.6466869844567416,0.673572228443449,0.6687048360200111,0.6711297071129707,0.6541313559322034,0.6864924958310172,0.6699213452671549,0.7378048780487805,0.5041666666666667,0.599009900990099,"[[1203, 578, 18], [539, 1235, 25], [44, 75, 121]]",0.6667556225554108,0.011330314243058092,0.6197877334158671,0.02604628772399903,0.6457421015807502,0.022566445891386597,0.6736433932580863,0.009976022294795097,0.668712472918601,0.024707491329146545,0.6709356571105728,0.014524271479092856,0.6546087783680727,0.015975285283131115,0.6864840606623337,0.011270031173537188,0.669981744323519,0.008462511857206742,0.7399738448125545,0.03781540402311114,0.5041666666666667,0.07021791477646966,0.5963089033081588,0.05465386835347507,0.6509005011045002,0.7378048780487805,0.521551724137931,0.6111111111111112,0.29377971770988015,0.0,0.0,0.0
negative_weight_10__0.40,negative_weight_10,class_weight,"{""Average"": 1, ""Negative"": 10, ""Positive"": 1}",1,0.40,5,5,81.7777871307917,0.6662324127149557,0.6182138224939782,0.6452868676117999,0.673572228443449,0.6687048360200111,0.6711297071129707,0.6532556908417152,0.6859366314619233,0.6691973969631236,0.7361963190184049,0.5,0.5955334987593052,"[[1203, 579, 17], [539, 1234, 26], [44, 76, 120]]",0.6662347892220774,0.010833485893926202,0.6182136593417931,0.028398671143599865,0.6440133434927643,0.02412787045981869,0.6737042729787002,0.010464362828093524,0.6687155679356238,0.02460758016329723,0.6709417435342191,0.014078612045791705,0.6537324188469485,0.015353157334029397,0.6859254100897556,0.012715369971719376,0.6692359994915591,0.008023296040537259,0.7403783162696576,0.04452683201848825,0.5,0.08014743359029727,0.5918622874525141,0.06136345174766036,0.6492435991856867,0.7361963190184049,0.5172413793103449,0.6075949367088608,0.2986293706293706,0.0,0.0,0.0
balanced__argmax,balanced,class_weight,balanced,1,argmax,0,5,80.84353260020725,0.6698801459093278,0.6220114569822741,0.6484564362831063,0.6761585706309324,0.6731517509727627,0.6746518105849583,0.6583421891604676,0.688715953307393,0.6731866340668297,0.7333333333333333,0.5041666666666667,0.5975308641975309,"[[1211, 569, 19], [535, 1239, 25], [45, 74, 121]]",0.6698809620817036,0.010441222922883816,0.6220104714742598,0.029208190382907572,0.6472435121804612,0.026896847313233052,0.6763050421609087,0.011162940715829054,0.6731584648715568,0.024857105170314447,0.6744637364497515,0.014360841240583015,0.6587681291911576,0.014086000024003599,0.6887062828845558,0.012791702546173537,0.6732081302101772,0.007033096197118881,0.7332921631308729,0.054212691984634666,0.5041666666666667,0.08477912478906584,0.5940586698814547,0.07332889889205191,0.6524100900134808,0.7333333333333333,0.521551724137931,0.6095717884130982,0.28278167522011394,0.0,0.0,0.0
negative_weight_7__0.35,negative_weight_7,class_weight,"{""Average"": 1, ""Negative"": 7, ""Positive"": 1}",1,0.35,4,5,83.87968079000711,0.6670140698280355,0.6223804891606447,0.6480651089266972,0.6752808988764045,0.6681489716509171,0.6716960044705225,0.6534391534391535,0.6864924958310172,0.6695581458389808,0.7321428571428571,0.5125,0.6029411764705882,"[[1202, 579, 18], [537, 1235, 27], [41, 76, 123]]",0.6670156996957844,0.010893186282759428,0.6223798101722894,0.027584214479622716,0.6469823797254819,0.02343910281061727,0.6754240495428678,0.011271339731557462,0.6681584648715567,0.024255910930173912,0.6715203563453814,0.014230957509162187,0.6538494368134037,0.014509527850312228,0.686480965645311,0.013591411779455258,0.6695767421377188,0.008407684114406556,0.7352796769604919,0.04622722904286665,0.5125,0.0775044801572428,0.5998500406933454,0.05994082071668395,0.6522663153402256,0.7321428571428571,0.5301724137931034,0.615,0.29377971770988015,0.0,0.0,0.0
random_oversample_negative_x2__0.20,random_oversample_negative_x2,random_oversampling,none,2,0.20,6,5,83.88137745810673,0.667274622199062,0.6237693780495337,0.6488317995060551,0.6752808988764045,0.6681489716509171,0.6716960044705225,0.6541313559322034,0.6864924958310172,0.6699213452671549,0.7294117647058823,0.5166666666666667,0.6048780487804878,"[[1202, 579, 18], [536, 1235, 28], [42, 74, 124]]",0.667276455888744,0.010377125527177167,0.6237707624058599,0.02409856869968496,0.6480417072186826,0.020770326244103937,0.6753784743251819,0.009601958029744208,0.6681615598885795,0.022976170253385914,0.6715331854280723,0.013205242549595403,0.6545619296734553,0.014710660824711256,0.6864840606623337,0.011540643056549007,0.6699618551665216,0.007503487076512711,0.7301014301014301,0.029759341299765093,0.5166666666666667,0.0650854139658888,0.6026300810614537,0.050176391498808044,0.6530455769758187,0.7294117647058823,0.5344827586206896,0.6169154228855721,0.29377971770988015,0.0,0.0,0.0
negative_weight_3__0.25,negative_weight_3,class_weight,"{""Average"": 1, ""Negative"": 3, ""Positive"": 1}",1,0.25,2,5,81.88917525112629,0.6675351745700886,0.6275654684701376,0.6511641130418101,0.6764374295377678,0.6670372429127293,0.6717044500419815,0.6537850714663843,0.6864924958310172,0.6697396963123644,0.7257142857142858,0.5291666666666667,0.6120481927710844,"[[1200, 580, 19], [535, 1235, 29], [39, 74, 127]]",0.6675372120817036,0.010165342727047605,0.6275655111936448,0.024412610893699116,0.6505026570881401,0.02151684654456602,0.6764988421040824,0.009074585760261922,0.6670458062519344,0.02294643199306214,0.6715355914228736,0.013387896737365793,0.6541972282645709,0.014564280677955578,0.6864840606623337,0.00996171796803752,0.6697901152460236,0.007191678688330813,0.727868427868428,0.050370324525416905,0.5291666666666667,0.06795627679291703,0.610182264595523,0.05510594999167289,0.6553796280640376,0.7257142857142858,0.5474137931034483,0.6240786240786241,0.29377971770988015,0.0,0.0,0.0
negative_weight_5__0.30,negative_weight_5,class_weight,"{""Average"": 1, ""Negative"": 5, ""Positive"": 1}",1,0.30,3,5,82.43439701921307,0.667274622199062,0.628583781112964,0.6511073506388487,0.6760722347629797,0.6659255141745414,0.6709605152618314,0.6541313559322034,0.6864924958310172,0.6699213452671549,0.7191011235955056,0.5333333333333333,0.6124401913875598,"[[1198, 580, 21], [535, 1235, 29], [39, 73, 128]]",0.6672764558887441,0.010145291433665542,0.628583513875993,0.023803494350421582,0.6504716516010901,0.021457758943004505,0.6762188010189667,0.010431467935652205,0.6659346951408234,0.024118504540668613,0.6707781775516551,0.013681007958193308,0.6544998693079032,0.013737839619591167,0.6864825131538225,0.01185028829993338,0.6699466175793843,0.007562038250095734,0.7212015626649773,0.052391919279309786,0.5333333333333334,0.06795627679291703,0.6106901596722307,0.056077152506352125,0.6553002821617177,0.7191011235955056,0.5517241379310345,0.624390243902439,0.29377971770988015,0.0,0.0,0.0
balanced__0.35,balanced,class_weight,balanced,1,0.35,1,5,80.84353260020725,0.6701406982803544,0.6306219504663085,0.6527044866012706,0.6769316909294513,0.6720400222345748,0.6744769874476988,0.6593699946609717,0.6864924958310172,0.6726579520697168,0.7150837988826816,0.5333333333333333,0.6109785202863962,"[[1209, 569, 21], [534, 1235, 30], [43, 69, 128]]",0.6701406996957845,0.00918292007330979,0.6306210667492005,0.021961153551875483,0.6519729937032627,0.018413963223304786,0.6770894708128751,0.011244394750798428,0.6720473537604457,0.025847714885787576,0.6742695910365044,0.014763742986292065,0.6597806246308535,0.013014958642532895,0.6864825131538225,0.012969468399642125,0.6726651414785563,0.005748956982583288,0.7179876569742915,0.045887058642937094,0.5333333333333334,0.06795627679291703,0.6089842485947273,0.051381582432151594,0.6565574268756027,0.7150837988826816,0.5517241379310345,0.6228710462287105,0.28278167522011394,0.0,0.0,0.0
